date,Plate.SN,well,DIV,treatment,dose,units,file.name,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,mi,wllq,wllq_notes
20140827,MW1007-100,A1,12,Acetaminophen,0,uM,ON_20140827_MW1007-100_12_00_001.h5,2.153408364,6.976,0.027588395,74.34226667,0.335733333,10.91313333,15,15,315,11.68571429,0.107516468,34.95172319,2.791401274,0.049286295,32.29206349,0.364073727,0.016642754,1,
20140827,MW1007-100,A1,5,Acetaminophen,0,uM,ON_20140827_MW1007-100_05_00_001.h5,1.556222776,3.024,0.101438163,35.943,0.634333333,12.11666667,5,3,0,NA,NA,0,NA,NA,NA,0.003845746,1.00E-05,1,
20140827,MW1007-100,A1,7,Acetaminophen,0,uM,ON_20140827_MW1007-100_07_00_001.h5,1.095558088,2.82,0.077334224,61.7511,0.8325,22.0857,13,10,19,10.31578947,0.188942147,2.716547656,43.70555556,0.047001293,18.42105263,0.045211781,0.000501091,1,
20140827,MW1007-100,A1,9,Acetaminophen,0,uM,ON_20140827_MW1007-100_09_00_001.h5,2.111859736,5.572,0.066763517,65.13469231,0.907,13.57930769,15,13,235,9.970212766,0.112938937,15.63595569,3.802136752,0.065269551,18.9787234,0.130958799,0.004656699,1,
20140827,MW1007-100,A2,12,Acetaminophen,0.03,uM,ON_20140827_MW1007-100_12_00_001.h5,3.014029117,7.305,0.021365685,67.5271875,0.3198125,9.3050625,16,16,368,14.32065217,0.108337382,44.33205843,2.38719346,0.063157495,52.28532609,0.466214658,0.029487003,1,
20140827,MW1007-100,A2,5,Acetaminophen,0.03,uM,ON_20140827_MW1007-100_05_00_001.h5,0.659583568,0.615,0.046918846,27.83966667,0.400666667,44.646,8,3,8,7,0.112447917,2.038320424,119.8357143,0.029022123,12.5,0.02192563,2.67E-05,1,
20140827,MW1007-100,A2,7,Acetaminophen,0.03,uM,ON_20140827_MW1007-100_07_00_001.h5,0.95354387,2.7075,0.070460645,51.2678125,0.6161875,35.5255625,16,16,36,10.61111111,0.173797674,4.930449348,23.37857143,0.071744034,18.80555556,0.08038701,0.001140106,1,
20140827,MW1007-100,A2,9,Acetaminophen,0.03,uM,ON_20140827_MW1007-100_09_00_001.h5,2.381606114,5.20125,0.05709946,61.403375,0.835125,14.6786875,16,16,479,11.37995825,0.096147387,36.63216212,1.862447699,0.050595599,26.22755741,0.244349158,0.011682336,1,
20140827,MW1007-100,A3,12,Acetaminophen,0.1,uM,ON_20140827_MW1007-100_12_00_001.h5,2.141181507,6.8625,0.017844805,72.7931875,0.2163125,16.130875,16,16,214,13.61682243,0.125618765,39.99610807,4.130046948,0.05446793,57.62616822,0.419216875,0.020903904,1,
20140827,MW1007-100,A3,5,Acetaminophen,0.1,uM,ON_20140827_MW1007-100_05_00_001.h5,0.62740763,1.28,0.061274279,39.84333333,0.32,47.70166667,6,3,0,NA,NA,0,NA,NA,NA,0.004145643,1.69E-05,1,
