"","DOP","Chemical","Dosage","Group_ID","date","Endpoint","value","Plate_Type"
"1","2","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",92.5810810810811,"Twenty Four"
"2","5","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",51.5,"Twenty Four"
"3","7","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",90.7625,"Twenty Four"
"4","9","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",238.513513513514,"Twenty Four"
"5",NA,NA,NA,NA,NA,"SPB_Mean",NA,"Six"
"6","14","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",267.672131147541,"Twenty Four"
"7","16","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",419.463414634146,"Twenty Four"
"8","19","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",442.25,"Twenty Four"
"9","21","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",739.986111111111,"Twenty Four"
"10","23","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",773.548780487805,"Twenty Four"
"11","26","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",786.609523809524,"Twenty Four"
"12","28","Glyphosate","Control","1_T002604_2",2024223,"SPB_Mean",350.5,"Twenty Four"
"13","2","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",21.1477272727273,"Twenty Four"
"14","5","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",6.65734265734266,"Twenty Four"
"15","7","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",96.2871287128713,"Twenty Four"
"16","9","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",159.067796610169,"Twenty Four"
"17","14","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",266.052631578947,"Twenty Four"
"18","19","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",1818.96,"Twenty Four"
"19","21","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",1383.19047619048,"Twenty Four"
"20","23","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",1094.59649122807,"Twenty Four"
"21","26","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",920.271604938272,"Twenty Four"
"22","28","Glyphosate","1","1_T002604_3",2024223,"SPB_Mean",313.088709677419,"Twenty Four"
"23","2","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",64.9142857142857,"Twenty Four"
"24","5","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",13.4166666666667,"Twenty Four"
"25","7","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",245.21568627451,"Twenty Four"
"26","9","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",215.574468085106,"Twenty Four"
"27","14","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",882.8,"Twenty Four"
"28","19","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",2626.2962962963,"Twenty Four"
"29","21","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",1608,"Twenty Four"
"30","23","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",1540.06060606061,"Twenty Four"
"31","26","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",2094.54166666667,"Twenty Four"
"32","28","Glyphosate","3","1_T002604_4",2024223,"SPB_Mean",1469.89189189189,"Twenty Four"
"33","2","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",44.25,"Twenty Four"
"34","5","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",39.1375,"Twenty Four"
"35","7","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",94.2586206896552,"Twenty Four"
"36","9","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",101.309352517986,"Twenty Four"
"37","16","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",1063.6,"Twenty Four"
"38","19","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",1523,"Twenty Four"
"39","21","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",1714.24137931034,"Twenty Four"
"40","23","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",1886.05882352941,"Twenty Four"
"41","26","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",1775.35483870968,"Twenty Four"
"42","28","Glyphosate","10","1_T002604_5",2024223,"SPB_Mean",857.639344262295,"Twenty Four"
"43","2","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",98.2231404958678,"Twenty Four"
"44","5","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",71.7903225806452,"Twenty Four"
"45","7","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",654,"Twenty Four"
"46","9","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",1340.16666666667,"Twenty Four"
"47","12","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",1671.07407407407,"Twenty Four"
"48","14","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",1899.78260869565,"Twenty Four"
"49","16","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",2902.17391304348,"Twenty Four"
"50","19","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",4014.44,"Twenty Four"
"51","21","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",3547.60869565217,"Twenty Four"
"52","23","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",2174.5,"Twenty Four"
"53","26","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",3356.71428571429,"Twenty Four"
"54","28","Glyphosate","30","1_T002604_6",2024223,"SPB_Mean",1067.31914893617,"Twenty Four"
"55","2","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",21.0923913043478,"Twenty Four"
"56","5","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.59210526315789,"Twenty Four"
"57","7","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.03703703703704,"Twenty Four"
"58","9","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.1304347826087,"Twenty Four"
"59","12","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.02777777777778,"Twenty Four"
"60","16","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1,"Twenty Four"
"61","19","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1,"Twenty Four"
"62","21","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.41515151515152,"Twenty Four"
"63","23","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",1.1858407079646,"Twenty Four"
"64","28","Loperamide","1","1_T002604_7",2024223,"SPB_Mean",33.2207357859532,"Twenty Four"
"65","2","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",41.8553191489362,"Twenty Four"
"66","7","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",12.0359281437126,"Twenty Four"
"67","12","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",45.4756097560976,"Twenty Four"
"68","14","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",206.555555555556,"Twenty Four"
"69","16","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",140.12,"Twenty Four"
"70","19","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",602.625,"Twenty Four"
"71","21","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",850.22,"Twenty Four"
"72","23","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",641.878787878788,"Twenty Four"
"73","28","Loperamide","Control","1_T002604_8",2024223,"SPB_Mean",75.6787148594377,"Twenty Four"
"74","2","Loperamide","3","1_T002604_9",2024223,"SPB_Mean",29.4779411764706,"Twenty Four"
"75","5","Loperamide","3","1_T002604_9",2024223,"SPB_Mean",1.17741935483871,"Twenty Four"
"76","28","Loperamide","3","1_T002604_9",2024223,"SPB_Mean",1.06666666666667,"Twenty Four"
"77","2","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",41.1023622047244,"Twenty Four"
"78","5","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",26.2777777777778,"Twenty Four"
"79","7","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",555.825,"Twenty Four"
"80","9","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",741.777777777778,"Twenty Four"
"81","14","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",601.328358208955,"Twenty Four"
"82","16","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",1355,"Twenty Four"
"83","19","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",2044.03225806452,"Twenty Four"
"84","21","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",1623.33333333333,"Twenty Four"
"85","23","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",1335.25,"Twenty Four"
"86","26","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",1278.075,"Twenty Four"
"87","28","Dieldrin","1","1_T002604_13",2024223,"SPB_Mean",247.387096774194,"Twenty Four"
"88","2","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",39.3862433862434,"Twenty Four"
"89","5","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",21.7731958762887,"Twenty Four"
"90","7","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",319.818181818182,"Twenty Four"
"91","9","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",341.951219512195,"Twenty Four"
"92","12","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",892.25,"Twenty Four"
"93","14","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",703.344827586207,"Twenty Four"
"94","16","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",1239.36363636364,"Twenty Four"
"95","19","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",1368.02564102564,"Twenty Four"
"96","21","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",1098.89189189189,"Twenty Four"
"97","23","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",1077.71428571429,"Twenty Four"
"98","26","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",867.555555555556,"Twenty Four"
"99","28","Dieldrin","Control","1_T002604_14",2024223,"SPB_Mean",192.230158730159,"Twenty Four"
"100","2","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",208.668965517241,"Twenty Four"
"101","5","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",77.7916666666667,"Twenty Four"
"102","7","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",131.438202247191,"Twenty Four"
"103","9","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",403.446808510638,"Twenty Four"
"104","12","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",698.125,"Twenty Four"
"105","14","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",828.72972972973,"Twenty Four"
"106","16","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",1229.5,"Twenty Four"
"107","19","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",1693.18181818182,"Twenty Four"
"108","21","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",1346.5,"Twenty Four"
"109","23","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",1047.13043478261,"Twenty Four"
"110","26","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",970.8625,"Twenty Four"
"111","28","Dieldrin","3","1_T002604_15",2024223,"SPB_Mean",220.397163120567,"Twenty Four"
"112","2","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",137.153846153846,"Twenty Four"
"113","5","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",140.647887323944,"Twenty Four"
"114","7","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",230.452631578947,"Twenty Four"
"115","9","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",333.470588235294,"Twenty Four"
"116","12","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",621.224137931035,"Twenty Four"
"117","14","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",198.951086956522,"Twenty Four"
"118","16","Dieldrin","10","1_T002604_16",2024223,"SPB_Mean",684.1875,"Twenty Four"
